coalition,value
6|7|10,12819.461612301391
6|7|11,-7169.422290659466
6|7|12,-9214.37104929267
6|7|13,32248.386878860605
6|7|14,41045.02996583675
6|8|9,14857.359313605051
6|8|10,16991.48298730139
6|8|11,-6008.034350255424
6|8|12,-234.20832179267018
6|8|13,32211.471509034345
6|8|14,40923.930686480686
6|9|10,14782.29863502867
6|9|11,20172.135010028665
6|9|12,14051.41730548321
6|9|13,32363.981964574123
6|9|14,41744.857953210485
6|10|11,18930.55283957412
6|10|12,12367.873328210484
6|10|13,31792.140407755942
6|10|14,41782.37801002867
6|11|12,332.61007821049134
6|11|13,31931.332703210486
6|11|14,40818.54121457412
6|12|13,31543.607521392303
6|12|14,40825.705146392305
6|13|14,42807.1068963923
7|8|9,14902.422234033835
7|8|10,16456.267878371473
7|8|11,-7119.946718011117
7|8|12,-5463.056283965416
7|8|13,31858.56916350121
7|8|14,41106.747178112564
7|9|10,13940.870566846846
7|9|11,19019.28371457412
7|9|12,14202.238174801394
7|9|13,33300.766362301394
7|9|14,42250.358078210484
7|10|11,19532.994907755936
7|10|12,13803.387487301396
7|10|13,32272.94922593776
7|10|14,42236.912294119575
7|11|12,498.3031350286692
7|11|13,32091.549612301395
7|11|14,41279.23619184685
7|12|13,31333.95565775594
7|12|14,41013.86549866503
7|13|14,42815.01285093776
8|9|10,16552.743100937758
8|9|11,17571.503816846845
8|9|12,17786.883600937756
8|9|13,25212.460919119578
8|9|14,40167.17558957412
8|10|11,17774.27736230139
8|10|12,15941.487771392302
8|10|13,26381.592919119576
8|10|14,40407.28728275594
8|11|12,-348.88222860769747
8|11|13,22805.32331684685
8|11|14,38380.056100937756
8|12|13,24326.59012366503
8|12|14,38058.36962366503
8|13|14,42810.64174866503
9|10|11,17998.91566911957
9|10|12,14846.01572593776
9|10|13,26123.17619184685
9|10|14,40243.315305483215
9|11|12,20698.00365775594
9|11|13,27196.054203210486
9|11|14,40144.364600937755
9|12|13,25404.635919119577
9|12|14,40213.528714574124
9|13|14,42802.17770321049
10|11|12,20667.08936230139
10|11|13,27471.042737301395
10|11|14,40258.25041911958
10|12|13,26435.767975937757
10|12|14,40274.99724866503
10|13|14,42799.24231684685
11|12|13,24462.084407755938
11|12|14,37863.72581684685
11|13|14,42792.81695321049
12|13|14,42794.906885028664
0|1|2|3,33376.532487301396
0|1|2|4,33339.9819873014
0|1|2|5,33369.35293048321
0|1|2|6,34215.70768048322
0|1|2|7,33841.38470321048
0|1|2|8,35784.01649866503
0|1|2|9,34642.12324866503
0|1|2|10,33364.26986230139
0|1|2|11,37627.552896392306
0|1|2|12,33796.38562366503
0|1|2|13,37676.558975937754
0|1|2|14,39812.433589574124
0|1|3|4,33418.127737301395
0|1|3|5,33397.57916911958
0|1|3|6,34172.136157755944
0|1|3|7,33836.127839574125
0|1|3|8,35587.13310093776
0|1|3|9,34693.79743048322
0|1|3|10,33388.19156684685
0|1|3|11,37573.95213502867
0|1|3|12,33866.37031684685
0|1|3|13,37603.91071457412
0|1|3|14,39905.02757821049
0|1|4|5,33424.741794119574
0|1|4|6,34118.459760028665
0|1|4|7,33835.79068048322
0|1|4|8,35646.2226123014
0|1|4|9,34345.87516911958
